Id,Position,FirstName,Nickname,LastName,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17288-34729,RB,Dwayne,,Washington,3.955555386,9,5000,DET@NYG,DET,NYG,,
17288-43956,QB,David,,Fales,0,0,5000,GB@CHI,CHI,GB,,
17288-14349,WR,Jeremy,,Kerley,7.046153729,13,4900,SF@ATL,SF,ATL,,
17288-30733,WR,Cordarrelle,,Patterson,6.115384615,13,4900,IND@MIN,MIN,IND,,
17288-31871,RB,Charles,,Sims,9.259999847,5,4900,TB@DAL,TB,DAL,,
17288-12525,D,Atlanta,,Falcons,7.307692308,13,4900,SF@ATL,ATL,SF,,
17288-54606,WR,John,,Brown,5.672727411,11,4900,NO@ARI,ARI,NO,Q,Illness
17288-39280,RB,Derrick,,Henry,5.781818043,11,4900,TEN@KC,TEN,KC,,
17288-33137,WR,Justin,,Hardy,4.040000153,10,4900,SF@ATL,ATL,SF,,
17288-54687,RB,Charcandrick,,West,4.100000064,12,4900,TEN@KC,KC,TEN,,
17288-27134,WR,Dorial,,Green-Beckham,5.854545593,11,4900,PHI@BAL,PHI,BAL,Q,Abdomen
17288-6704,WR,Percy,,Harvin,2.700000048,1,4900,CLE@BUF,BUF,CLE,O,Migraine
17288-7761,TE,Jared,,Cook,4.628571647,7,4900,GB@CHI,GB,CHI,,
17288-7831,K,Sebastian,,Janikowski,9.384615385,13,4900,OAK@SD,OAK,SD,,
17288-32418,RB,Christine,,Michael,9.366666794,12,4900,GB@CHI,GB,CHI,Q,Illness
17288-7900,K,Stephen,,Gostkowski,8.230769231,13,4900,NE@DEN,NE,DEN,,
17288-33578,RB,Jalen,,Richard,6.030769348,13,4900,OAK@SD,OAK,SD,,
17288-14317,TE,Julius,,Thomas,7.455555386,9,4900,JAC@HOU,JAC,HOU,IR,Back
17288-14336,RB,Jacquizz,,Rodgers,7.637499809,8,4800,TB@DAL,TB,DAL,,
17288-25837,RB,Duke,,Johnson Jr.,7.661538344,13,4800,CLE@BUF,CLE,BUF,,
17288-12530,D,Dallas,,Cowboys,5.230769231,13,4800,TB@DAL,DAL,TB,,
17288-48380,K,Wil,,Lutz,8.769230769,13,4800,NO@ARI,NO,ARI,,
17288-11532,TE,Dennis,,Pitta,7.476922842,13,4800,PHI@BAL,BAL,PHI,,
17288-33244,WR,Eli,,Rogers,6.590000153,10,4800,PIT@CIN,PIT,CIN,,
17288-6668,K,Adam,,Vinatieri,9.461538462,13,4800,IND@MIN,IND,MIN,,
17288-22035,WR,Travis,,Benjamin,7.275000254,12,4800,OAK@SD,SD,OAK,,
17288-28202,RB,Jeremy,,Langford,5.111111111,9,4800,GB@CHI,CHI,GB,,
17288-22113,RB,Alfred,,Morris,2.838461656,13,4800,TB@DAL,DAL,TB,,
17288-6782,K,Matt,,Prater,10,13,4800,DET@NYG,DET,NYG,,
17288-33714,K,Cairo,,Santos,8.615384615,13,4800,TEN@KC,KC,TEN,,
